id	age	gender	rt	aut.flexibility.1	aut.flexibility.2	aut.flexibility	aut.originality.1	aut.originality.2	aut.originality	aut.fluency.1	aut.fluency.2	aut.fluency	bag.appropriateness.1	bag.appropriateness.2	bag.appropriateness	dat	valids	word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10
R_3koVyM7qEyE4Ypx	19	Male	240.109	3.2	3.8	3.5	1	2.2	1.6	1	1.6	1.3	NA	NA	NA	76.7083573909033	9	giraffe 	face	shoe 	trees	TV	paw	ocean	car	banana	handle
R_WuE6JAAXCEGO8tH	19	Female	240.015	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	4.5	5.5	76.9824312556358	10	cat	desk	theater	egg	pants	weather	hand	hem	uncle	flower
R_3QmlC37US0bEQYp	19	Female	241.328	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6875	4.9375	5.6875	76.4956753878366	10	Rain	Tree	Laptop	Mug	Nail	Rabbit	Potato	Pants	Class	Curtain
R_2y1HvqnTKxJ8ymk	18	Female	240.056	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8	4.6	5.8	75.2706637694722	10	fire	flower	pen	dress	plane	mountain	dog	law	camera	child
R_1q1W1V1aS9uWkIG	19	Female	240.037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.8803779170627	10	boat 	people 	insect 	coffee 	clothes 	bike 	television 	wood 	laptop 	hair 
R_eUQsJePK1Dpo5pf	19	Female	240.015	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.31578947368421	3.78947368421053	4.31578947368421	72.5596076321034	9	flower 	dinner 	pen 	lipstick	dog 	color	macbook	apple	fan 	sunscreen 
R_1PRwVSBz8uq54dj	18	Female	242.126	2.4	2.2	2.3	1.2	0.2	0.7	1	1.2	1.1	NA	NA	NA	72.8811000784238	10	ocean 	chair	head	flower	car	lamp	rock	money	work	gun
R_4IbEa0u5VaCjNGF	19	Female	240.069	5.4	4.6	5	3.2	2	2.6	6.8	6.6	6.7	5.67241379310345	4.6551724137931	5.67241379310345	83.161450387533	9	ethanol	mitosis	dress	candle	can	placemat	car	egg	laptop	card
R_yIwKYgPZNqHO5Ut	18	Female	240.078	0.6	0.8	0.7	0	0	0	1	1	1	NA	NA	NA	79.0625775809444	9	map	queen	hat	steel	tea	lips	swimming pool	glasses	book	gap
R_1rcssfbD4S8tGQa	19	Female	240.131	0.2	0.4	0.3	0	0	0	1	0.8	0.9	NA	NA	NA	80.4815574770882	9	box	computer	mooncake	cheese	poll	doll	fish	beauty	flower	cola
R_12om7o5KDQ51Wns	19	Male	240.013	0.6	1.6	1.1	0	1	0.5	1	1	1	5.3	4.2	5.3	77.6158712449528	10	tree	typewriter	needle	suitcase	ball	card	nail	fan	cable	dragon
R_2SklImEAFdyRD8v	18	Male	240.018	2.8	3.4	3.1	0.6	0.6	0.6	1	1.6	1.3	5.80645161290323	4.48387096774194	5.80645161290323	81.2399138474748	10	bin	branch	ball	crab	roof	rocket	ruler 	son	headphones	water
R_ZKanfRTrN38JWkF	19	Male	240.081	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.83333333333333	3.83333333333333	5.83333333333333	75.1351218848001	10	desk	train	house	sky	tree	minor	habit	shirt	tower	market
R_1hAL4rQ655FLo8L	18	Female	240.038	0.2	0.4	0.3	0.2	0.2	0.2	1	0.8	0.9	3.44897959183673	1.97959183673469	3.44897959183673	77.9125465701024	10	glass	wind	face	butterfly	street lamp	iron	sea shell	nail	cash	time
R_2dSCW5JzmFfZAqE	19	Female	240.011	0.4	0.4	0.4	0	0.2	0.1	1	0.8	0.9	7	4	7	79.9818152650481	10	rabbit 	computer 	sweater 	nail	lung 	wax	desk	game 	mountain	surfboard 
R_3kL2FyOx4dlNdwL	19	Female	240.013	0.8	0.8	0.8	0	0	0	1	1	1	4.2156862745098	2.86274509803922	4.2156862745098	76.9464853796221	10	dog	sex	psychology	computer	conflict	father	flower	parade	clown	firework
R_3EGpxTN5LLLMqWk	18	Female	240.118	2.6	2.8	2.7	0.8	0.8	0.8	3.4	3.2	3.3	NA	NA	NA	83.8604321703315	8	hat 	elephant 	doctor	cushion	test tube 	library	toy car	stomach	globe	deoderant
R_siF0IejFbyHEe2Z	19	Female	240.024	1.4	1.2	1.3	0.2	0.2	0.2	1.8	1.6	1.7	7	6.5	7	81.6780483971039	10	television	chair	pencil	skirt	mascara	calculator	door	certificate	pillow	tissue
R_1F8vpBWAwpcKYce	18	Female	241.181	0.4	1	0.7	0	0.6	0.3	3.8	3.4	3.6	6.14285714285714	5.42857142857143	6.14285714285714	80.4728848039217	9	bottle	earphone	pen	fruit	medicine	ocean	fire	perfume	strategy	caculator
R_3CZrn6fF5NxYcKY	20	Female	240.012	9.4	8.8	9.1	8.4	6.4	7.4	13.6	13	13.3	5.13559322033898	3.42372881355932	5.13559322033898	88.8643795979165	10	purple	grave	keyboard	quantum 	stork	toe	climate	ghost	fried	diet
R_2QGm7E0iK9QwQUC	18	Female	240.02	1.4	2	1.7	0.2	0.6	0.4	3	3.2	3.1	5.40540540540541	4.72972972972973	5.40540540540541	84.3357280606315	9	book	chicken	kettle	highway	bed	cousin	jumper	nailpolish	music	tissue
R_3hxXFvAaZUCRCyF	18	Female	240.114	1	1.4	1.2	0.8	0.8	0.8	9.6	8.4	9	6.47058823529412	6	6.47058823529412	80.9383352952344	9	school	flag	sand	cat	nail polish	deodorant	fork	lock	travel	ambulance
R_31zaY56c9gCqpKx	18	Female	240.013	0.2	0.4	0.3	0	0	0	1	0.8	0.9	5	3.58695652173913	5	72.1845730429604	10	man	girl	bottle	book	study	family	photo	baby	childhood	birthday
R_VPQBGmFJkgy04nv	18	Female	240.085	1	1.4	1.2	0.6	0.8	0.7	1	1.4	1.2	4.10526315789474	2.85964912280702	4.10526315789474	77.8951817325183	9	sun	cheese	adress	tree	glass	carbon	noise	mail	fail	water
