id	age	gender	rt	aut.flexibility.1	aut.flexibility.2	aut.flexibility	aut.originality.1	aut.originality.2	aut.originality	aut.fluency.1	aut.fluency.2	aut.fluency	bag.appropriateness.1	bag.appropriateness.2	bag.appropriateness	understood	strategy	dat	valids	word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10
R_YaGQavcwqIx8Ec9	22	Male	240.17	2.6	2.8	2.7	1.2	1.6	1.4	1.6	1.6	3.8	5.91428571428571	4.02857142857143	5.91428571428571	TRUE	FALSE	86.9377187941046	10	paint	kangaroo	capitalism	aspirin	dictionary	law	flower	mercury	mountain	oxygen
R_1ib2WS6c3oC7Yn2	19	Female	73.077	3.2	3.4	3.3	0.6	0.8	0.7	7.6	7.6	7.6	4.66666666666667	2.19444444444444	4.66666666666667	FALSE	FALSE	75.4166514390991	10	cup	book	pen	foot	egg	tree	dog	computer	clock	ring
R_PLPzMyaGNx4OGg9	18	Female	52.693	2.2	2.2	2.2	0.4	0.4	0.4	3.2	3.2	4	5.1	3.325	5.1	TRUE	FALSE	78.9925823503706	10	pig	girl	programmer	park	music	basketball	dress	sun	river	love
R_bORrxwjxVxUfp1n	18	Female	131.879	2.6	2.6	2.6	0	0	0	4	4	4	4.87179487179487	2.84615384615385	4.87179487179487	TRUE	FALSE	71.2486897196088	8	water	pencil	ipad	cloth	light	night	pink	spanish	music	tutorial
R_RwVVJ0GFQ9Wi87v	19	Female	111.464	1.6	2.6	2.1	0	0.2	0.1	3.2	3.2	3.2	5.28125	3.4375	5.28125	TRUE	FALSE	75.6454748766763	10	shoes	pencil	racquet	stove	bags	lamp	box	laptop	clock	flower
R_2e44X5Tu93G4Fno	22	Female	240.198	3	4.2	3.6	0.6	1.6	1.1	7	7	7	5.825	3.725	5.825	FALSE	TRUE	64.7797416540838	9	chair	chairperson	spokesperson	president	leader	head	convenor	spokeslady	emcee	speaker
R_3fZuqdl4dGR9Itq	24	Female	54.533	3.6	3.8	3.7	0.6	2.2	1.4	1.6	1.6	6.8	5.23076923076923	2.94871794871795	5.23076923076923	TRUE	TRUE	78.7573351391724	10	Pillow	Concrete	Pencil	Fox	Computer	Glasses	Stomach	Tango	Bamboo	Tattoo
R_276Yoyb0ovmc6eQ	19	Female	80.711	2.6	3.6	3.1	0.8	1.2	1	5.5	5.5	5.5	5.675	3.325	5.675	TRUE	FALSE	91.6106533370025	10	Chair	Homogenous	Spell	Liver	Pipeline	Tennis	Hue	Root	Treble	Pin
R_3m9ydtXQTR3xesk	19	Female	58.265	2.8	2.4	2.6	0.6	0.8	0.7	3.4	3.4	3.6	4.52631578947368	2.07894736842105	4.52631578947368	TRUE	FALSE	78.6379604289929	10	water	earth	computer	pepper	paper	Newton	snow	whiteboard	yogurt	box
R_9FYnnfnczUtuNB7	18	Male	240.006	2.2	2.6	2.4	0	0.2	0.1	1	1	5.2	5.53846153846154	3.84615384615385	5.53846153846154	TRUE	FALSE	74.9003776127384	10	blue	helicopter	mushroom	diamond	circle	iron	galaxy	language	hate	scallop
R_1KrLH7y3QylI6wP	21	Female	70.021	3	3.4	3.2	0.4	0.8	0.6	7.2	7.2	7.2	5.36842105263158	3.65789473684211	5.36842105263158	TRUE	TRUE	85.7683738050539	10	table	saxophone	potato	corgi	mirror	blanket	stiletto	toy	bidet	road
R_1Nk0VcyE5sKROaM	18	Female	202.342	4.2	5	4.6	2	3	2.5	1.8	1.8	8.8	5.05	3.35	5.05	TRUE	TRUE	86.1735137844724	9	bowl	paper	parachute	jetski	wire	chemist	censorship	death	weight	flour
R_1gkLnpfcMWPE0LF	20	Female	239.208	2.4	3	2.7	1	1	1	6.5	6.5	6.5	5.07692307692308	2.64102564102564	5.07692307692308	TRUE	TRUE	85.4263563729113	9	vegan	university	blanket	fireplace	coffin	newspaper	zoology	brain	olympics	gingerbread
